x,y,action
-32.683891296,19.772445679
-33.254814148,17.519277573
-33.850189209,15.519346237
-34.353004456,13.484431267
-34.531734467,11.50501442
-34.579341888,9.345222473
-34.655025482,7.023993969
-34.60364151,5.011402607
-34.64717865,3.01350069
-34.708126068,1.441037536,continue
-34.306880951,-0.760474741
-33.862846375,-2.78656292
-33.151256561,-3.949767828
-31.303777695,-4.720640182
-29.135286331,-4.854846478
-26.703649521,-4.775352955
-24.690690994,-4.728343964
-22.605575562,-4.720480442
-20.563598633,-4.546887875
-18.522163391,-4.323302746,continue
-16.430065155,-4.316188335
-13.779741287,-4.277587891
-11.726758957,-4.055665016
-9.175528526,-3.757509708
-6.846638203,-3.289912462
-5.003448009,-2.459503889
-3.439720392,-1.196433663
-1.697615266,-0.17516014
-0.624627233,0.076311462
-0.26222226,0.068336561,stop
