x,y,action
-0.008703558,-0.030379407
0.414439082,-0.007312459
1.148992538,0.23800537
1.906208754,0.54189229
3.93824935,1.260974884
5.801767826,2.300393105
7.081336498,3.925087214
8.022434235,5.683673859
8.960940361,7.674910545
10.092624664,9.466651917,continue
11.136342049,11.223574638
12.245277405,13.024180412
13.266015053,14.752303123
14.313579559,16.763576508
15.141285896,18.622236252
15.918004036,20.515216827
16.509967804,22.471422195
16.930335999,24.514230728
17.135700226,26.551095963
17.167768478,28.543458939,continue
17.116230011,30.613048553
16.78768158,32.716953278
16.27513504,34.703285217,stop
