x,y,action,left_tolerance,right_tolerance,yaw_deg
-74.76003265,-261.1217346,,,,
-74.7794342,-261.0097656,,,,
-74.49284363,-261.0611572,continue,,,
-73.97013855,-261.0771179,,,,
-73.69198608,-260.8638,,,,
-73.70420075,-260.7386475,continue,,,
-73.42146301,-260.7515869,,,,
-73.41782379,-261.0303955,,,,
-73.14133453,-261.2330933,,,,
-73.27609253,-261.0588989,continue,,,
-73.39170837,-261.0787964,,,,
-74.03894806,-260.8591614,,,,
-73.9782486,-261.0022583,continue,,,
-73.64771271,-260.4127197,,,,
-74.10279083,-260.0298462,,,,
-74.64335632,-260.0533447,,,,
-74.68314362,-260.7049561,continue,,,
-74.62363434,-260.7023926,,,,
-74.6541214,-260.3722839,,,,
-74.66294098,-260.6498108,continue,,,
-74.68141937,-260.8993225,,,,
-74.6733017,-260.927124,,,,
-74.49184418,-260.771698,,,,
-74.16004181,-260.0498047,continue,,,
-74.3903656,-260.2830505,,,,
-74.34641266,-260.4775391,,,,
-74.08213806,-260.1537476,continue,,,
-73.96150208,-260.334259,,,,
-74.37783051,-260.1799011,,,,
-74.47946167,-258.9573364,,,,
-74.15938568,-258.6864014,continue,,,
-73.89160156,-258.6971436,,,,
-73.68138886,-258.5371094,,,,
-73.88945007,-258.2654724,continue,,,
-74.02527618,-258.0458984,,,,
-74.60092926,-258.3061829,,,,
-74.22101593,-258.0509644,,,,
-74.32094574,-258.2404175,continue,,,
-74.65957642,-258.4653625,,,,
-74.38898468,-258.65802,,,,
-74.04888153,-258.7505188,continue,,,
-74.43102264,-259.4385681,,,,
-74.65988159,-258.9862366,,,,
-74.9968338,-258.3886414,,,,
-75.14476776,-257.2125549,continue,,,
-75.65674591,-257.2960205,,,,
-76.22100067,-257.6055603,,,,
-76.41336823,-257.1913147,continue,,,
-76.32846069,-256.7377319,,,,
-75.96675873,-256.5629883,,,,
-75.76948547,-256.5952759,,,,
-75.58410645,-256.3259583,continue,,,
-75.39502716,-256.2494812,,,,
-75.18140411,-256.0084229,,,,
-75.13697815,-255.8798523,continue,,,
-75.18376923,-255.7428894,,,,
-74.99002838,-255.7283325,,,,
-75.09907532,-255.5510406,,,,
-75.48782349,-255.4625092,continue,,,
-75.60341644,-255.021286,,,,
-74.26987457,-254.3851471,,,,
-73.89466858,-254.4163971,continue,,,
-73.81042481,-254.1702728,,,,
-73.6403122,-254.1934357,,,,
-73.73678589,-253.9993439,,,,
-72.06773377,-253.1028748,continue,,,
-71.73239136,-253.1442566,,,,
-70.79970551,-251.6849518,,,,
-70.25354767,-251.2372894,continue,,,
-70.06658173,-250.8027954,,,,
-69.77470398,-250.6907349,,,,
-69.67053223,-250.0897369,,,,
-69.1058197,-249.539093,continue,,,
-68.97457886,-249.6138611,,,,
-68.75699616,-249.4345551,,,,
-68.55586243,-249.1051636,continue,,,
-67.98397064,-249.5070038,,,,
-67.92030335,-248.8062439,,,,
-67.46782684,-248.550354,,,,
-67.53617096,-247.8560486,continue,,,
-67.42590332,-248.0866852,,,,
-67.26552582,-247.967514,,,,
-67.19860077,-247.9413147,continue,,,
-67.11157227,-247.6689453,,,,
-67.12361145,-247.2743073,,,,
-67.18160248,-247.1410675,,,,
-67.10565186,-246.979187,continue,,,
-67.16023254,-246.5924988,,,,
-66.4178009,-245.951355,,,,
-65.40370178,-245.1229401,continue,,,
-65.73258209,-245.0665436,,,,
-64.73893738,-244.6526184,,,,
-63.01490021,-243.7786255,,,,
-63.02174377,-243.6395569,continue,,,
-62.6692276,-243.4779968,,,,
-62.55886459,-242.987915,,,,
-62.45479965,-243.2060394,continue,,,
-62.0294838,-243.0578613,,,,
-61.9478569,-242.8579712,,,,
-61.5435791,-242.6261444,,,,
-61.54619598,-242.5374298,continue,,,
-61.31103516,-242.2578583,,,,
-61.25214768,-241.136673,,,,
-60.31751251,-239.939743,continue,,,
-58.86296463,-238.9395447,,,,
-58.43481064,-238.5031586,,,,
-58.08809662,-238.1571808,,,,
-57.80282211,-237.8703613,continue,,,
-57.801651,-237.7018585,,,,
-57.68951035,-237.5531616,,,,
-57.88408661,-236.7451477,continue,,,
-57.56322098,-236.661087,,,,
-57.38895035,-236.4664917,,,,
-56.35729599,-236.6582031,,,,
-56.19062805,-236.5700684,continue,,,
-56.1974411,-236.2389832,,,,
-55.95069504,-236.0744629,,,,
-56.0633316,-235.7178192,continue,,,
-55.75595474,-235.2485199,,,,
-54.64577866,-234.7651978,,,,
-54.34984207,-234.8569031,,,,
-54.27151489,-234.6905365,continue,,,
-53.97486115,-234.4768066,,,,
-53.59801102,-234.4643402,,,,
-53.78575134,-234.2818451,continue,,,
-53.69281769,-233.255188,,,,
-53.15540314,-233.107605,,,,
-53.12117767,-232.7204437,,,,
-52.93061066,-232.5871735,continue,,,
-53.41765976,-232.4558563,,,,
-53.47708893,-232.92453,,,,
-53.09289932,-232.6526947,continue,,,
-52.94119644,-232.8027954,,,,
-52.90150452,-232.9577789,,,,
-53.05114746,-233.0371704,,,,
-53.59096909,-233.3662109,continue,,,
-53.83372498,-233.2359467,,,,
-53.41114426,-232.7694244,,,,
-52.97465515,-232.8278656,continue,,,
-53.0804596,-233.2677307,,,,
-52.85430527,-233.1487732,,,,
-53.19706726,-233.5002899,,,,
-53.0843544,-233.1581268,continue,,,
-53.15839768,-232.9364624,,,,
-52.30659866,-232.388382,,,,
-51.6242218,-232.4687653,continue,,,
-51.38315582,-232.6564789,,,,
-51.47694397,-232.8144531,,,,
-51.45609665,-232.6415405,,,,
-52.21602631,-232.802597,continue,,,
-52.8577385,-232.351059,,,,
-52.07316971,-231.5353546,,,,
-52.40576935,-231.2212219,continue,,,
-53.16443634,-230.5220184,,,,
-53.52348709,-230.3895721,,,,
-53.45051956,-230.5001984,,,,
-54.32459259,-230.3900604,continue,,,
-54.80512619,-230.4782104,,,,
-54.5831871,-230.8392487,,,,
-54.63878632,-230.7295685,continue,,,
-54.3254509,-230.799942,,,,
-54.25676727,-230.4163361,,,,
-54.35324097,-230.3647614,,,,
-54.01423645,-230.5598907,continue,,,
-54.26964188,-230.6381989,,,,
-54.37907028,-230.6083679,,,,
-54.66461563,-230.4238434,continue,,,
-54.57581711,-229.5669403,,,,
-53.9463768,-229.321991,,,,
-54.8744278,-228.075058,,,,
-54.31974411,-228.0090942,continue,,,
-54.170578,-227.7239075,,,,
-53.85560226,-227.1277466,,,,
-53.18930054,-227.1336823,continue,,,
-53.55463028,-225.5766602,,,,
-53.67118454,-225.5056915,,,,
-54.77088165,-225.3527679,,,,
-55.1632309,-225.2701721,continue,,,
-55.00066376,-225.2185516,,,,
-54.85600281,-225.0154419,,,,
-54.30825806,-224.4099274,continue,,,
-54.1063118,-224.2371216,,,,
-53.91120911,-224.231842,,,,
-53.72352982,-224.0724335,,,,
-53.73362732,-223.8724365,continue,,,
-53.79691315,-224.2446289,,,,
-53.8633194,-224.386322,,,,
-53.96537399,-224.3856049,continue,,,
-54.02991104,-224.448761,,,,
-54.15402222,-224.6190186,,,,
-54.32287598,-224.8055573,,,,
-54.42451096,-224.9022064,continue,,,
-54.52461624,-224.9942322,,,,
-54.77186203,-224.9451294,,,,
-54.9548378,-224.8510895,continue,,,
-55.02415848,-224.8974304,,,,
-55.0607872,-224.8901215,,,,
-55.09117127,-224.9241943,,,,
-55.11552811,-225.0374908,continue,,,
-55.17658615,-225.0545197,,,,
-55.17553711,-225.0665588,,,,
-55.16632462,-225.1072693,continue,,,
-55.24310303,-225.5456543,,,,
-55.2297287,-225.571579,,,,
-55.22298813,-225.5758972,,,,
-55.25020218,-225.596283,continue,,,
-55.26870728,-225.6029511,,,,
-55.24097443,-225.5776062,,,,
-55.32515717,-225.5797272,continue,,,
-55.02214813,-225.6381226,,,,
-54.90680695,-225.6708221,,,,
-54.72253418,-225.6019135,,,,
-54.46583176,-225.8597565,continue,,,
-54.74632645,-226.0625458,,,,
-55.01216126,-226.1233978,,,,
-55.08987045,-225.9276886,continue,,,
-55.36139298,-225.9329681,,,,
-55.33095932,-225.7014618,,,,
-55.12722397,-225.630188,,,,
-54.91256332,-225.7672729,continue,,,
-54.96749878,-226.0453949,,,,
-54.75870514,-226.1656799,,,,
-55.03613663,-226.392395,continue,,,
-55.07720566,-226.0316772,,,,
-54.94031525,-226.2391815,,,,
-55.02896881,-226.1616974,,,,
-54.80334091,-226.2002716,continue,,,
-54.84250641,-226.4271851,,,,
-54.7465744,-226.3152771,,,,
-54.78658295,-226.6920624,continue,,,
-54.66021729,-226.2481689,,,,
-54.48130417,-226.7468414,,,,
-55.24841309,-226.9771576,,,,
-55.50211716,-226.8523865,continue,,,
-55.4815712,-226.5170288,,,,
-55.31729126,-226.450058,,,,
-56.11562347,-226.1395569,continue,,,
-55.72822189,-225.6894531,,,,
-55.78320313,-225.4262238,,,,
-56.56025696,-224.8338013,,,,
-56.64515686,-224.9372253,continue,,,
-56.69673157,-225.0244598,,,,
-56.61602783,-225.0818787,,,,
-56.99596405,-224.6833801,continue,,,
-57.34445953,-224.5744476,,,,
-57.79214859,-225.1784668,,,,
-58.0846138,-225.4013824,,,,
-58.383358,-225.4152679,continue,,,
-58.01216888,-225.3378906,,,,
-57.55502701,-226.4306488,,,,
-57.27493286,-227.225769,continue,,,
-56.93593216,-227.3399048,,,,
-56.6672554,-227.255722,,,,
-56.35484695,-227.2032776,,,,
-56.10995483,-227.2722168,continue,,,
-55.85201263,-227.248764,,,,
-55.96969605,-227.2940979,,,,
-56.31028748,-227.5623474,continue,,,
-56.07906723,-227.4636688,,,,
-56.40290451,-227.4104919,,,,
-56.74246216,-227.3365021,,,,
-56.79597855,-227.1569977,continue,,,
-56.55636215,-227.4535217,,,,
-56.50740051,-227.4747314,,,,
-56.65193176,-227.4963379,continue,,,
-56.67700577,-227.4283447,,,,
-56.71511459,-227.4693451,,,,
-56.66878891,-227.5262604,,,,
-56.86813736,-227.4524841,continue,,,
-56.77731705,-227.5108185,,,,
-56.81005478,-227.4322662,,,,
-56.866539,-227.587265,continue,,,
-57.07775497,-227.3628998,,,,
-56.82955933,-227.4972687,,,,
-56.68019486,-227.587738,,,,
-56.86517334,-227.5278931,continue,,,
-56.81344605,-227.466629,,,,
-56.83686447,-227.5228577,,,,
-56.73091507,-227.4983978,continue,,,
-56.73237228,-227.1599426,,,,
