x,y,action,left_tolerance,right_tolerance,yaw_deg
25.25027466,-177.8366547,,,,
23.17556953,-177.9221497,continue,,,
20.98194313,-178.0732574,,,,
18.97695732,-178.13797,,,,
16.93531036,-178.1257935,,,,
14.76643372,-178.1601105,continue,,,
12.7366209,-178.3195343,,,,
10.75441742,-178.4203339,,,,
9.019109726,-178.4510803,continue,,,
8.685009956,-178.4605713,,,,
7.066756725,-178.5203857,,,,
6.769717216,-178.5366058,,,,
5.547132492,-178.5806732,continue,,,
4.496825218,-178.6520844,,,,
2.478289366,-178.7075958,,,,
0.498727977,-178.9062347,continue,,,
-1.544215441,-178.9725647,,,,
-2.934314013,-179.0473785,,,,
-5.03362608,-178.9464264,,,,
-7.068620205,-179.0854492,continue,,,
-8.415245056,-179.1746216,,,,
-10.42912865,-179.334198,,,,
-11.98655033,-179.4299774,continue,,,
-13.1782732,-179.3796692,,,,
-14.88376141,-179.7056427,,,,
-15.32911205,-179.7875061,,,,
-17.55973244,-180.0609589,continue,,,
-19.62553024,-180.1221771,,,,
-21.66306305,-179.9938965,,,,
-22.6133213,-179.9223938,continue,,,
-22.81429672,-179.8485107,,,,
-23.0049324,-179.7203979,,,,
-23.17848587,-179.6716919,,,,
-23.47107315,-179.641922,continue,,,
-23.70174789,-179.6068726,,,,
-23.92473984,-179.6440735,,,,
-24.13113403,-179.6812744,continue,,,
-24.14877319,-179.6891327,,,,
-24.25154495,-179.7092285,,,,
-24.53721619,-179.7063599,,,,
-24.98955917,-179.6446991,continue,,,
-25.55952072,-179.5511475,,,,
-26.22924614,-179.6542969,,,,
-26.46523285,-179.6691742,continue,,,
-27.95274544,-179.6330566,,,,
-28.19625092,-179.6322479,,,,
-29.72154427,-179.7090149,,,,
-30.40048981,-179.7065887,continue,,,
-30.65814781,-179.7253265,,,,
-30.71503258,-179.7323303,,,,
-30.64172363,-179.7423248,continue,,,
-30.69260979,-179.7307587,,,,
-30.68623734,-179.7297211,,,,
-30.75846863,-179.7496643,,,,
-30.96053505,-179.7433624,continue,,,
-31.40631104,-179.7107239,,,,
-33.24433899,-179.7835846,,,,
-33.90173721,-179.8177948,continue,,,
-34.30893326,-179.8835449,,,,
-34.53688431,-179.9179688,,,,
-36.60716248,-179.9511261,,,,
-37.84238434,-180.1575012,continue,,,
-38.28736115,-180.259903,,,,
-40.28027725,-180.3997955,,,,
-42.20596314,-180.4486694,continue,,,
-44.272892,-180.4688568,,,,
-45.1828804,-180.4757385,,,,
-47.20482636,-180.5014954,,,,
-49.22826004,-180.5473022,continue,,,
-50.4087677,-180.6502838,,,,
-50.65932846,-180.6533051,,,,
-50.88766098,-180.679718,continue,,,
-51.30406189,-180.5928192,,,,
-51.52077484,-180.5737,,,,
-51.81051254,-180.5874786,,,,
-52.22430801,-180.6571503,continue,,,
-52.54290009,-180.7816772,,,,
-52.82582855,-180.8842163,,,,
-53.32356644,-181.1963959,continue,,,
-53.48237991,-181.3291168,,,,
-54.2719307,-182.9226837,,,,
-54.29783249,-183.7651825,,,,
-54.96578217,-184.3422699,continue,,,
-55.01059341,-184.1394653,,,,
-55.6086731,-184.8099213,,,,
-54.04741669,-182.6029053,continue,,,
-54.07321167,-182.8222198,,,,
-54.12641525,-183.0392914,,,,
-54.17935944,-183.3061676,,,,
-54.2114563,-183.5041199,continue,,,
-54.1268158,-183.7113953,,,,
-54.14656448,-183.8961945,,,,
-54.24525833,-184.0180817,continue,,,
-54.1423645,-184.024292,,,,
-54.24158859,-184.0153809,,,,
-54.14216232,-184.0222626,,,,
-54.24180603,-184.015976,continue,,,
-54.18499756,-184.1324615,,,,
-54.2238121,-184.3659668,,,,
-54.19457626,-184.5023346,continue,,,
-54.10541153,-185.4488373,,,,
-54.09414291,-186.1487579,,,,
-54.01583481,-187.7714691,,,,
-53.80731964,-188.6443939,continue,,,
-53.49368286,-190.7592011,,,,
-53.32676315,-192.7438507,,,,
-53.14341736,-194.8701324,continue,,,
-53.05015564,-196.1598969,,,,
-53.02221298,-196.4464874,,,,
-52.98097992,-197.0481262,,,,
-52.87252426,-198.1990662,continue,,,
-52.82543182,-198.5236511,,,,
-52.81887436,-198.70401,,,,
-52.76374817,-199.100174,continue,,,
-52.67623901,-199.7582092,,,,
-52.59371567,-200.7296448,,,,
-52.53066635,-201.4129486,,,,
-52.43820953,-202.5115204,continue,,,
-52.30641937,-203.381012,,,,
-52.29603577,-204.1503754,,,,
-52.31122589,-205.3918152,continue,,,
-52.52561569,-206.1902008,,,,
-52.43712997,-207.570343,,,,
-52.50698853,-208.162323,,,,
-52.56264496,-208.4391174,continue,,,
-52.69131851,-208.8904724,,,,
-52.83306503,-209.1964722,,,,
-53.0110817,-209.3403473,continue,,,
-53.24394226,-209.5597534,,,,
-53.63916779,-209.8859711,,,,
-53.94060516,-210.3004608,,,,
-54.53334045,-210.8644867,continue,,,
-54.98047257,-211.5075836,,,,
-55.08747864,-211.7780609,,,,
-55.47658157,-212.1507874,continue,,,
-56.26097488,-213.0530548,,,,
-56.41742325,-213.2454681,,,,
-56.65795136,-213.5359802,,,,
-57.98823166,-215.015274,continue,,,
-58.24536514,-215.3026886,,,,
-58.61271668,-215.7317657,,,,
-58.8536911,-215.9835052,continue,,,
-59.03160477,-216.1572418,,,,
-59.21681976,-216.318924,,,,
-59.38868713,-216.4825134,,,,
-59.59597778,-216.630127,continue,,,
-58.45895004,-217.0745544,,,,
-58.16651535,-217.2900696,,,,
-58.06152725,-217.1963196,continue,,,
-58.09871292,-216.9393616,,,,
-58.09512329,-216.7376862,,,,
-58.44930267,-216.3087921,,,,
-58.67675018,-216.4854736,continue,,,
-58.68110657,-216.4295349,,,,
-60.2455368,-217.0855103,,,,
-60.64846039,-218.1259308,continue,,,
-60.91796112,-218.8988495,,,,
-60.89962006,-219.0731506,,,,
-61.30460358,-219.1476593,,,,
-61.62533951,-219.3663177,continue,,,
-62.69427109,-219.5395355,,,,
-63.07267761,-219.651947,,,,
-63.46749878,-219.7473755,continue,,,
-63.81425476,-219.8062744,,,,
-64.03577423,-219.7046509,,,,
-64.85425568,-220.0363312,,,,
-65.86676025,-220.2693787,continue,,,
-66.48996735,-220.4116669,,,,
-67.97962189,-220.8427429,,,,
-69.20043945,-221.1339722,continue,,,
-70.59876251,-221.4702606,,,,
-72.50137329,-221.7369995,,,,
-74.25414276,-221.8822784,,,,
-75.30071259,-221.9501953,continue,,,
-77.18560791,-222.0660553,,,,
-78.70057678,-222.1780548,,,,
-79.71442413,-222.2188263,continue,,,
-80.85959625,-222.3183289,,,,
-81.45356751,-222.3683167,,,,
-81.92486572,-222.3040466,,,,
-82.36293793,-222.2237091,continue,,,
-82.61717987,-222.2354584,,,,
-82.81061554,-222.31604,,,,
-83.44677734,-222.3939056,continue,,,
-83.90680695,-222.38414,,,,
-84.16629791,-222.3339233,,,,
-84.47335815,-222.3335724,,,,
-84.68569946,-222.361084,continue,,,
-85.89905548,-222.4502716,,,,
-86.45037079,-222.4831085,,,,
-86.89518738,-222.4740906,continue,,,
-87.25720215,-222.5806885,,,,
-89.17386627,-222.6941986,,,,
-90.65036774,-222.7577667,,,,
-90.94436646,-222.786087,continue,,,
-92.96334839,-222.7241821,,,,
-93.38292694,-222.8439331,,,,
-94.77449799,-222.8518372,continue,,,
-95.63654327,-222.8314514,,,,
-97.42907715,-222.8908997,,,,
-99.80278778,-223.0506592,,,,
-102.9556122,-223.0975952,continue,,,
-105.1622543,-223.320694,,,,
-107.2079163,-223.3025665,,,,
-108.5283203,-223.1783142,continue,,,
-110.6436005,-223.2698059,,,,
-112.6785278,-223.4650879,,,,
-114.6935196,-223.6301727,,,,
-116.7188263,-223.760025,continue,,,
-118.7535019,-223.8725739,,,,
-120.7589493,-223.9569702,,,,
-122.819664,-223.9655609,continue,,,
-124.8890076,-224.0584869,,,,
-126.3923111,-224.1424255,,,,
-128.3830566,-224.2325287,,,,
-130.5520782,-224.3331604,continue,,,
-131.2846222,-224.4685974,,,,
-133.4034882,-224.584259,,,,
-135.5573425,-224.6921082,continue,,,
-136.6682281,-224.7683411,,,,
-138.7492676,-224.8575287,,,,
-139.9525452,-224.9031372,,,,
-141.847702,-224.9581909,continue,,,
-143.8554993,-225.0953674,,,,
-146.0175018,-225.1437531,,,,
-147.7487946,-225.300415,continue,,,
-149.4441528,-225.4055176,,,,
-151.4643097,-225.5749512,,,,
-153.5965424,-225.7363739,,,,
-155.6460266,-225.934433,continue,,,
-157.7175446,-226.0001831,,,,
-159.835556,-226.1017456,,,,
-161.2926178,-226.2158966,continue,,,
-162.229126,-226.3091888,,,,
-163.9935303,-226.3907623,,,,
-165.9713898,-226.6591492,,,,
-167.9659271,-227.0770416,continue,,,
-168.9843903,-227.3459015,,,,
-170.972168,-227.7869568,,,,
-172.9581299,-228.2133942,continue,,,
-174.2499695,-228.5591736,,,,
-176.2635956,-228.9552155,,,,
-176.9230042,-229.0619659,,,,
-178.9712524,-229.4511414,continue,,,
-181.3582306,-230.0554504,,,,
-182.872406,-230.6707611,,,,
-183.8327637,-230.9949341,continue,,,
-185.7018585,-231.7169952,,,,
-187.7915649,-232.6929779,,,,
-189.8106232,-233.6983643,,,,
-191.6042175,-234.6706848,continue,,,
-193.55867,-235.8001251,,,,
-195.329361,-236.7176819,,,,
-197.1745758,-237.6710358,continue,,,
-198.0406036,-238.1258698,,,,
-199.7488098,-238.9639435,,,,
-201.5113831,-239.7952576,,,,
-203.1192932,-241.013092,continue,,,
-204.4226074,-241.8379974,,,,
-206.081604,-242.9917908,,,,
-207.8596344,-244.2459106,continue,,,
-208.9891663,-245.1234436,,,,
-210.2849884,-246.1419067,,,,
-210.7877502,-246.4402161,,,,
-211.9568481,-247.1739502,continue,,,
