__time,/pcl_pose/header/stamp/nanosec,/pcl_pose/header/stamp/sec,/pcl_pose/pose/pose/orientation/w,/pcl_pose/pose/pose/orientation/x,/pcl_pose/pose/pose/orientation/y,/pcl_pose/pose/pose/orientation/z,/pcl_pose/pose/pose/position/x,/pcl_pose/pose/pose/position/y,/pcl_pose/pose/pose/position/z
1730697602.04243,680706304,1728187190,0.999748794,-0.017597112,0.013871577,-0.000505985,-0.001886163,-0.010737218,-0.004234552
1730697602.2378,882459904,1728187190,0.999745143,-0.017668839,0.014036495,-0.000644224,-0.010642089,-0.014220613,-0.006975512
1730697602.3386,983311872,1728187190,0.999751671,-0.017499186,0.013784468,-0.000566631,-0.005368162,-0.013430467,-0.011312271
1730697602.44254,84148480,1728187191,0.99974369,-0.01774235,0.014050942,-0.000567442,-0.008711975,-0.00736883,-0.00373046
1730697602.5494,185021696,1728187191,0.999743198,-0.017720142,0.014113701,-0.000531292,-0.008294425,-0.010367407,-0.002773897
1730697602.64263,285897216,1728187191,0.999743324,-0.017628562,0.014222414,-0.000486145,-0.008672286,-0.009519289,-0.004333869
1730697602.95341,588606720,1728187191,0.999753981,-0.017498321,0.013616207,-0.00062375,-0.003441783,-0.014279388,-0.010802478
1730697603.05638,689384448,1728187191,0.999746439,-0.017811202,0.013766461,-0.000527706,-0.001326189,-0.016937481,-0.006748854
1730697603.14208,790288128,1728187191,0.999746134,-0.017646977,0.013994411,-0.000631256,-0.005978763,-0.008283513,-0.006517749
1730697603.45682,92731392,1728187192,0.99974553,-0.017648946,0.014035187,-0.000644518,-0.005771615,-0.008179436,-0.007145808
1730697603.56198,193589504,1728187192,0.999746261,-0.017589836,0.014055188,-0.000660964,-0.005287302,-0.008036601,-0.007689465
1730697603.66165,294451712,1728187192,0.999745359,-0.017571823,0.014139679,-0.000710706,-0.004208441,-0.009090246,-0.009930108
1730697603.84975,496186112,1728187192,0.999746849,-0.017567659,0.014041773,-0.000685447,-0.00267418,-0.013741557,-0.011767088
1730697603.94946,597025280,1728187192,0.999749659,-0.017555548,0.013857983,-0.000601835,-0.00099704,-0.016610434,-0.010639682
1730697604.0508,697885696,1728187192,0.999749719,-0.017556895,0.013853086,-0.0005616,-0.005398967,-0.008899914,-0.007647059
1730697604.15139,798782720,1728187192,0.999750099,-0.017496346,0.013903519,-0.000535181,-0.006221883,-0.010294578,-0.00746773
1730697604.46319,101453312,1728187193,0.999750993,-0.017437607,0.013915659,-0.000475814,-0.005689283,-0.010061477,-0.007252475
1730697604.57425,202197248,1728187193,0.999750397,-0.017454621,0.013936514,-0.000482851,-0.005253393,-0.009337046,-0.007031959
1730697604.75681,403902976,1728187193,0.999749324,-0.017511867,0.013941115,-0.000512098,-0.004759131,-0.007318741,-0.006294838
1730697604.85744,504759552,1728187193,0.999748996,-0.01751805,0.013954413,-0.000528627,-0.004112325,-0.00656529,-0.005751086
1730697604.95864,605616128,1728187193,0.999748929,-0.017521991,0.013954788,-0.000554792,-0.003268972,-0.006385703,-0.005346191
1730697605.07469,706473472,1728187193,0.999748355,-0.01757431,0.013929044,-0.000580697,-0.00280925,-0.00552718,-0.005344331
1730697605.18372,807352064,1728187193,0.999748578,-0.017565201,0.013925149,-0.000585389,-0.00314996,-0.005295651,-0.005174373
1730697605.28209,908194816,1728187193,0.999748578,-0.017571744,0.013916606,-0.000576152,-0.002908924,-0.005940272,-0.004793408
1730697605.37342,9082624,1728187194,0.999750084,-0.017514381,0.013881137,-0.000580811,-0.003445661,-0.004564582,-0.004847524
1730697605.47418,109928192,1728187194,0.999749823,-0.017552879,0.013850362,-0.000581044,-0.003569318,-0.011654981,-0.004351655
1730697605.56936,210787328,1728187194,0.999747334,-0.017666988,0.013883502,-0.000612771,-0.005279824,-0.004493447,-0.003956272
1730697605.66549,311628288,1728187194,0.999749786,-0.017521686,0.013891277,-0.000600757,-0.005696473,-0.01017488,-0.004834769
1730697605.87659,513368320,1728187194,0.999747431,-0.0176174,0.013940105,-0.000594842,-0.006162323,-0.010820294,-0.004621845
1730697606.07743,715063552,1728187194,0.999748362,-0.0176564,0.013823644,-0.000613594,-0.004086518,-0.020757414,-0.005494246
1730697606.19615,815940352,1728187194,0.999747662,-0.01768479,0.013838648,-0.00060722,-0.006933821,-0.010918878,-0.006669531
1730697606.55799,118554368,1728187195,0.999747773,-0.017686761,0.013827154,-0.000603229,-0.006822425,-0.010871825,-0.006683924
1730697606.60114,219362304,1728187195,0.999747006,-0.017722281,0.013837565,-0.000586861,-0.007688811,-0.011623706,-0.007206181
1730697606.77632,421248256,1728187195,0.999751075,-0.017513032,0.013807119,-0.000654826,-0.006492003,-0.01486495,-0.008432983
1730697606.87605,522079232,1728187195,0.999755777,-0.017468401,0.013292465,-0.002554498,-0.024909858,-0.030789612,-0.003204725
1730697607.08177,723661312,1728187195,0.999669728,-0.017049506,0.012750664,-0.014392024,-0.024900945,-0.049442474,-0.008500811
1730697607.18281,824514560,1728187195,0.999535632,-0.017400118,0.013039714,-0.021347249,-0.001535911,-0.033817798,-0.008122233
1730697607.28028,925401344,1728187195,0.999521514,-0.017823818,0.01014925,-0.023152625,0.032992549,-0.016516484,-0.003057217
1730697607.37889,26245120,1728187196,0.999481104,-0.017160424,0.010228543,-0.025266393,0.045392003,-0.022153564,0.004328372
1730697607.48138,127103744,1728187196,0.999458435,-0.018445284,0.006888404,-0.026365676,0.065648474,-0.021278689,-0.002069305
