x,y,action,left_tolerance,right_tolerance,yaw_deg
33.811965942,121.410346985,
33.708835602,123.545814514,
33.750473022,125.361923218,
33.721809387,127.175468445,
33.60843277,128.752838135,
33.685520172,129.424362183,
33.818096161,129.759750366,
33.87530899,130.031784058,
34.081642151,130.242202759,
34.486244202,130.719360352,
34.959480286,131.392059326,
35.304203033,131.737228394,
36.062339783,132.753067017,
36.463504791,133.316604614,
36.668746948,133.670578003,
36.840602875,134.169708252,
36.90423584,134.674179077,
36.933948517,135.201721191,
36.922077179,135.450149536,
36.869720459,135.853256226,
36.891571045,136.224700928,
37.063877106,136.658630371,
37.676677704,137.981811523,
38.845191956,139.752609253,
39.951488495,141.610778809,
41.072238922,143.285980225,
41.751197815,144.160766602,
42.166252136,144.721191406,
42.44991684,145.103683472,
42.561038971,145.359619141,
42.5666008,145.641891479,
42.555118561,145.880752563,
42.594081879,146.338821411,
42.626350403,147.337402344,
42.590606689,148.070663452,
42.453273773,149.3568573,
42.379390717,149.778137207,
42.268993378,150.174331665,
42.058521271,150.646636963,
41.861236572,151.211578369,
41.634586334,151.72366333,
41.227474213,152.467041016,
41.077632904,152.699127197,
40.794944763,153.125778198,
40.411891937,153.918395996,
40.195720673,154.337997437,
39.905914307,154.956130981,
39.616539001,155.491699219,
39.424209595,155.788787842,
39.150714874,156.313568115,
39.02999115,156.59664917,
38.890857697,156.945922852,
38.737216949,157.416778564,
38.717674255,157.648117065,
38.654933929,157.860961914,
38.582275391,158.056030273,
38.51845932,158.235946655,
38.431892395,158.443695068,
38.306182861,158.776733398,
38.218250275,159.055755615,
38.163421631,159.412094116,
38.197864532,159.920822144,
38.206199646,160.330993652,
38.271976471,160.686172485,
38.387119293,160.92755127,
38.409160614,161.224029541,
38.845039368,161.848526001,
39.294063568,162.209457397,
40.012992859,162.734466553,
40.634849548,163.318115234,
42.006786346,163.695495605,
44.054405212,163.733123779,
46.098892212,163.790924072,
