x,y,action,left_tolerance,right_tolerance,yaw_deg
111.228523254,156.333908081,continue
110.865844727,154.55418396,
110.185394287,152.339981079,continue
109.618469238,150.428237915,
109.150993347,148.272674561,continue
108.951171875,146.285736084,
108.862380981,144.252914429,continue
108.930374146,142.718505859,
108.901435852,141.575714111,
109.045562744,140.489212036,
109.161308289,138.439941406,continue
109.218414307,137.069702148,
109.311523438,135.01399231,
109.47467041,132.933227539,continue
109.643280029,131.609802246,
109.676864624,129.553283691,
109.768951416,127.549163818,continue
109.732269287,126.120674133,
109.862052917,124.071273804,
109.964286804,123.002838135,continue
110.086448669,120.976119995,
109.984153748,119.251800537,
109.905601501,118.217269897,continue
109.789489746,116.042961121,
109.941940308,113.952598572,continue
110.081161499,112.144447327,
110.019477844,110.933746338,
110.178642273,108.659721375,continue
110.208000183,108.176185608,
110.308059692,106.141670227,
110.438652039,104.056625366,continue
110.471626282,102.401954651,
110.615013123,100.689979553,
110.687812805,99.246772766,continue
110.758018494,97.227371216,
110.873786926,95.170684814,continue
111.019973755,92.952178955,
111.108016968,90.235305786,continue
111.194419861,88.176620483,
111.343139648,86.131980896,continue
111.48374939,84.077903748,
111.491859436,82.893676758,continue
111.514717102,82.321510315,
111.639259338,81.204971313,continue
111.734848022,80.957267761,
111.938575745,80.626586914,continue
112.190422058,80.479484558,
112.451431274,80.44178009,
112.65940094,80.383964539,
112.872177124,80.337493896,
113.13571167,80.21207428,
113.340927124,80.108192444,
113.641273499,79.849708557,
113.81060791,79.597602844,
113.972312927,79.465736389,continue
114.213722229,79.025192261,
114.378425598,77.740394592,continue
114.352752686,76.99344635,
114.346557617,76.67591095,
114.37336731,75.972290039,continue
114.447898865,75.066856384,
114.517951965,74.602218628,
114.669219971,73.321243286,continue
114.66632843,72.604431152,
114.748977661,70.677536011,
114.830932617,69.065238953,
114.717987061,67.856391907,continue
114.62676239,66.070922852,
114.637931824,65.488800049,
114.616210938,64.905326843,
114.603096008,64.656486511,
114.61466217,64.425758362,
114.438774109,63.901527405,continue
114.303009033,63.715885162,
113.916862488,63.344875336,
113.71282959,63.167873383,
113.384544373,62.975318909,
113.179359436,62.882293701,
112.933067322,62.858680725,
112.68447876,62.818641663,
112.472290039,62.746421814,
112.252487183,62.595848083,
112.019187927,62.426719666,
111.813095093,62.251926422,
111.574058533,62.145160675,
111.332748413,61.983932495,continue
