x,y
64.360305786,-84.610816956
64.365180969,-84.653205872
64.408294678,-85.033607483
64.220474243,-86.678245544
64.525268555,-88.877952576
64.753555298,-91.139625549
64.777458191,-91.940803528
64.75176239,-92.895606995
64.860145569,-93.365104675
64.932182312,-94.500244141
64.974449158,-96.547637939
65.09147644,-98.553276062
65.134414673,-100.513305664
65.130470276,-102.597267151
65.17906189,-104.646339417
65.27469635,-106.61541748
65.446121216,-108.689376831
65.5415802,-110.686561584
65.646263123,-112.708641052
65.78238678,-114.778877258
66.020606995,-116.741363525
66.116081238,-118.768592834
66.331451416,-120.811470032
66.548721313,-122.845466614
66.734138489,-124.880607605
66.917686462,-126.942901611
67.032844543,-128.975585938
67.035972595,-131.028625488
67.172225952,-133.091110229
67.425178528,-135.027633667
66.961013794,-136.4246521
66.929412842,-138.429794312
67.003913879,-140.45274353
67.045700073,-142.607696533
67.026023865,-144.634216309
67.120124817,-146.816467285
67.134742737,-148.878341675
67.280075073,-151.00982666
67.357452393,-153.020965576
67.421791077,-155.099365234
67.530319214,-157.147094727
67.637184143,-159.245361328
67.700172424,-161.279815674
67.66594696,-163.315292358
67.630210876,-165.482849121
67.818908691,-168.568649292
67.867271423,-170.551132202
67.379859924,-172.579803467
67.019134521,-174.067596436
66.104698181,-175.868301392
65.462478638,-176.674514771
64.633735657,-177.20475769
63.369510651,-177.616043091
62.474411011,-177.7056427
61.202342987,-177.475204468
60.014122009,-177.245895386
58.823982239,-177.294067383
57.985507965,-176.991073608
55.937332153,-176.829544067
53.9752388,-176.936019897
51.934261322,-177.042816162
49.85004425,-176.949020386
47.692615509,-177.09336853
45.354804993,-177.19631958
43.204704285,-177.324859619
41.100456238,-177.382019043
39.006126404,-177.352142334
36.989257813,-177.50718689
34.972614288,-177.571212769
32.968753815,-177.657318115
30.921709061,-177.723632813
28.691741943,-177.743804932
26.670665741,-177.812057495
24.292068481,-177.881637573
22.292528152,-178.023590088
20.13176918,-178.098480225
18.036499023,-178.102340698
16.034593582,-178.084960938
13.947075844,-178.241867065
11.91855526,-178.376159668
9.615450859,-178.437484741
7.522208214,-178.526748657
5.129380703,-178.613479614
3.059536695,-178.658874512
1.091475129,-178.859161377
-0.880909741,-178.952346802
-2.934314013,-179.04737854
-5.03362608,-178.946426392
-7.068620205,-179.085449219
-9.229248047,-179.250488281
-11.239535332,-179.380020142
-13.410264015,-179.418930054
-15.329112053,-179.787506104
-17.559732437,-180.060958862
-19.625530243,-180.122177124
-21.663063049,-179.993896484
-23.004932404,-179.720397949
-23.22917366,-179.660644531
-23.851268768,-179.644256592
-24.161603928,-179.678863525
-24.154808044,-179.693466187
