__time,/pcl_pose/header/stamp/nanosec,/pcl_pose/header/stamp/sec,/pcl_pose/pose/pose/orientation/w,/pcl_pose/pose/pose/orientation/x,/pcl_pose/pose/pose/orientation/y,/pcl_pose/pose/pose/orientation/z,/pcl_pose/pose/pose/position/x,/pcl_pose/pose/pose/position/y,/pcl_pose/pose/pose/position/z,distance,curvature
1730697782.67361,319150336.0,1728187371.0,0.699584251,-0.014261886,0.000634124,0.714407484,19.518920898,50.050003052,-1.978450179,0.0087437192278075,10.0
1730697787.02549,656084992.0,1728187375.0,0.685384456,-0.014330434,0.001189982,0.728039374,19.539072037,50.108894348,-1.989018559,0.0622434988376839,1.6976307463139204
1730697787.81614,462892288.0,1728187376.0,0.672852942,-0.015983864,0.003480649,0.739595311,19.495578766,50.296066284,-1.98154366,0.192158783947721,0.3264802443770577
1730697790.57558,186072320.0,1728187379.0,0.697867516,-0.016396197,0.00241785,0.716035063,19.411014557,51.304519653,-2.0023911,1.0119927385565812,0.142056874781297
1730697793.46527,111109632.0,1728187382.0,0.690720039,-0.011850299,0.000502159,0.72302498,19.288633347,52.637641907,-2.047428608,1.338727793343782,0.0707201967928623
1730697796.79443,439351808.0,1728187385.0,0.65271336,-0.011059734,0.003393361,0.757516587,19.040756226,54.086593628,-2.117300987,1.4700014139122832,1.4912491195262902
1730697799.32661,960815872.0,1728187387.0,0.652523262,-0.008183696,-0.000214945,0.757724484,18.867139816,55.056144714,-2.12453723,0.9849730789138644,0.1087141823666026
1730697800.92902,574540800.0,1728187389.0,0.632857651,-0.011383757,0.001251512,0.77418342,18.720438004,55.693744659,-2.13715148,0.6542592081951043,0.3507305895283963
1730697805.87003,516615168.0,1728187394.0,0.655245839,-0.011748826,0.003119834,0.755317903,18.307771683,57.665306091,-2.185953379,2.0142859709181247,0.0491719396800069
1730697808.80937,441526016.0,1728187397.0,0.650940353,-0.01136581,0.005535939,0.759023566,18.127168655,58.887527466,-2.242790461,1.2354928341474378,0.1278856288192357
1730697810.11544,752728576.0,1728187398.0,0.631204342,-0.006977597,-0.000494584,0.775584948,17.987756729,59.399707794,-2.248371363,0.5308148203481283,0.8841793726820022
1730697812.12317,770019072.0,1728187400.0,0.670555035,-0.013365875,0.004854178,0.741723501,17.795326233,60.326702118,-2.272183895,0.9467565539878882,0.1418965204488524
1730697814.24065,887908864.0,1728187402.0,0.65794402,-0.01491253,0.007177142,0.752884938,17.685691833,61.263301849,-2.281183958,0.9429945693229812,0.064259648821556
1730697818.38404,23125760.0,1728187407.0,0.675375256,-0.012255544,0.001577813,0.73737069,17.355407715,63.080287933,-2.339096069,1.8467609558501863,0.1719563446862856
1730697819.88835,536023808.0,1728187408.0,0.642116044,-0.008678928,0.000429487,0.766558169,17.254095078,63.739837646,-2.35445857,0.6672856017735375,0.2788277383606256
1730697822.61292,259334144.0,1728187411.0,0.622963374,-0.008933106,0.004454829,0.782187295,17.054281235,65.011390686,-2.388232946,1.2871568301445129,0.7475328860404459
1730697824.73406,377239552.0,1728187413.0,0.653881981,-0.009783992,0.002176429,0.75653015,16.736461639,66.281425476,-2.425216675,1.3091973355502748,0.0940458676207884
1730697828.18188,806496512.0,1728187416.0,0.680212959,-0.01294442,0.001420449,0.732898883,16.38306427,68.248542786,-2.471237659,1.9986095696052757,0.0545823109443917
1730697831.00347,630515712.0,1728187419.0,0.659588344,-0.013779627,0.003039982,0.751494585,16.196187973,69.597099304,-2.507838964,1.3614431433668843,0.148145713489777
1730697832.71147,345111040.0,1728187421.0,0.7132258,-0.01100373,-0.000676107,0.700847609,16.147192001,70.08278656,-2.518417835,0.488152349080735,1.1536639213415685
1730697838.35837,993230848.0,1728187426.0,0.713171318,-0.011299845,-0.000418616,0.700898517,16.141469955,70.097145081,-2.519110203,0.0154566793242692,10.0
1730697841.27209,918251520.0,1728187429.0,0.694613475,-0.011097064,-0.002271634,0.719293908,16.093925476,70.370635986,-2.518157959,0.244844860142738,1.38187544270451
1730697842.09047,724975872.0,1728187430.0,0.707122175,-0.010786964,-0.002738078,0.707003766,16.078647614,70.756996155,-2.530190706,0.3866621176906256,0.1295960271232581
1730697845.27869,851639040.0,1728187433.0,0.689942608,-0.007697506,-0.00194115,0.723820531,15.921777725,72.900222778,-2.572131634,2.1489598692415997,0.0405318499342427
1730697847.42989,70501376.0,1728187436.0,0.652199901,-0.012308869,0.000545355,0.757946903,15.578108788,74.910438538,-2.632265568,2.0393812149794517,0.0492292042378738
1730697849.85218,491150592.0,1728187438.0,0.686379615,-0.012515107,-0.002991725,0.727129573,15.403329849,77.04259491,-2.692822218,2.13930794234449,0.0684240631004347
1730697851.96486,609169408.0,1728187440.0,0.603607337,-0.011083469,0.004318743,0.797193003,15.071481705,79.015602112,-2.72569561,2.0007200228467945,0.0455582592502858
1730697854.40046,29765888.0,1728187443.0,0.628036075,-0.010172795,0.001784066,0.778115722,14.500992775,81.121803284,-2.787161827,2.1820955515711757,0.0734572513050514
1730697856.70888,349521920.0,1728187445.0,0.725604572,-0.011044984,0.001915488,0.688020577,14.090484619,83.087760925,-2.837102175,2.00835912932643,0.1471555008774098
1730697858.01799,660725760.0,1728187446.0,0.704378777,-0.007803651,0.000469928,0.709781251,14.170555115,84.165260315,-2.850635052,1.0804703696909317,0.0963871588835678
1730697860.40312,980446464.0,1728187448.0,0.698583548,-0.007837895,-0.001069047,0.715484714,13.951555252,86.251495361,-2.904392242,2.0976981687441683,0.0461594615218478
