x,y
-228.9609375,-259.341217041
-230.908737183,-259.865814209
-233.852294922,-260.317443848
-236.032073975,-260.540802002
-238.288421631,-260.566223145
-240.293930054,-260.597717285
-242.334075928,-260.581481934
-244.380722046,-260.539459229
-246.371810913,-260.549591064
-248.508865356,-260.435302734
-250.574966431,-260.661254883
-252.600372314,-261.159240723
-254.687286377,-261.883117676
-256.539581299,-262.698974609
-258.344055176,-263.714813232
-260.076171875,-264.82623291
-261.59072876,-266.217346191
-263.035369873,-267.895294189
-264.465118408,-269.726898193
-265.318267822,-271.622131348
-266.018554688,-273.499969482
-266.590637207,-275.480377197
-266.974700928,-277.499908447
-267.232849121,-279.593566895
-267.371185303,-281.662261963
-267.684143066,-283.824920654
-267.778198242,-285.85836792
-267.787200928,-287.866699219
-268.031921387,-289.937011719
-268.151733398,-292.030395508
-267.933227539,-294.698181152
-267.860717773,-296.835449219
-267.650665283,-298.815979004
-267.28314209,-300.784088135
-266.900268555,-302.838439941
-266.55178833,-304.804656982
-266.242095947,-306.786499023
-265.789398193,-308.767730713
-265.368041992,-310.729705811
-265.217834473,-312.372283936
-264.557434082,-314.267181396
-264.061218262,-316.214416504
-263.376342773,-318.231689453
-262.753509521,-320.197052002
-261.908996582,-322.233551025
-261.37979126,-324.172943115
-260.782806396,-326.180297852
-260.214691162,-328.174163818
-259.695709229,-330.121246338
-259.400665283,-332.206726074
-259.418579102,-334.208526611
-259.534393311,-336.302337646
-259.774597168,-338.293273926
-259.449981689,-340.321502686
-258.669036865,-341.809692383
-258.038421631,-342.281890869
-257.086456299,-342.515228271
-256.145172119,-342.387420654
-255.198242188,-341.821411133
-253.860855103,-340.278320313
-252.812332153,-338.573059082
-251.764465332,-336.822723389
-250.455734253,-335.126251221
-248.846740723,-333.835449219
-247.278320313,-332.572570801
-245.3228302,-331.539398193
-243.44480896,-330.600341797
-241.635314941,-329.697387695
-239.767028809,-328.89074707
-238.942016602,-328.504455566
-237.933105469,-328.02947998
-237.423721313,-327.926727295
-236.260848999,-327.49810791
-234.389190674,-326.798370361
-232.479675293,-326.181549072
-230.55921936,-325.70010376
-228.614517212,-325.295196533
-226.621292114,-324.733032227
-224.523254395,-324.302825928
-222.502838135,-323.873138428
-220.4949646,-323.382537842
-218.576599121,-322.732421875
-216.633239746,-322.144744873
-214.755737305,-321.427398682
-212.84715271,-320.498565674
-210.982254028,-319.450531006
-209.256515503,-318.42678833
-207.390975952,-317.610137939
-205.283935547,-316.875
-203.146072388,-316.377380371
-202.31427002,-316.006774902
-201.773849487,-315.869140625
-201.194946289,-315.856689453
-200.037643433,-315.756561279
-198.008117676,-315.469787598
-195.969009399,-315.252441406
-193.968887329,-314.818481445
-191.982498169,-314.469696045
-189.930847168,-314.076477051
-187.939651489,-313.736785889
-185.994766235,-313.32522583
-183.394638062,-313.028717041
-181.397872925,-312.71774292
-179.184814453,-312.19329834
-177.15586853,-311.605651855
-174.678405762,-310.71685791
-172.711837769,-310.096557617
-170.787567139,-309.434539795
-168.992919922,-308.496368408
-167.309371948,-307.526580811
-166.659210205,-307.044250488
-165.48890686,-306.583007813
-163.758132935,-305.562255859
-162.034072876,-304.41708374
-160.453643799,-303.124664307
-159.053359985,-301.688995361
-157.562850952,-299.764678955
-156.416305542,-298.117889404
-155.158630371,-296.230499268
-154.128112793,-294.479064941
-152.84336853,-292.962402344
-151.367523193,-291.441223145
-150.055374146,-289.86114502
-148.762527466,-288.320770264
-147.479293823,-286.785919189
-146.232971191,-285.083099365
-145.23210144,-283.348480225
-143.976867676,-281.713562012
-143.504638672,-281.089477539
-142.425582886,-279.752105713
-142.225387573,-279.586334229
-141.791152954,-279.387298584
-141.116195679,-278.363311768
-140.690994263,-277.81817627
-140.119171143,-277.104797363
-139.068252563,-275.711212158
-137.654907227,-274.290863037
-136.026626587,-273.05947876
-134.388656616,-271.860321045
-132.574508667,-271.052825928
-130.630523682,-270.546539307
-129.234008789,-270.401245117
-128.417739868,-270.264007568
-127.752433777,-270.083679199
-127.482376099,-270.028320313
-127.081733704,-270.102844238
-126.386413574,-269.899017334
-124.820404053,-269.759674072
-122.819816589,-269.464782715
-120.884849548,-269.071594238
-118.904953003,-268.829040527
-116.856002808,-268.723815918
-114.610862732,-268.646148682
-112.508827209,-268.509155273
-110.539878845,-268.316650391
-108.454841614,-268.181121826
-106.47013092,-268.158599854
-104.486694336,-268.027893066
-102.238868713,-267.89175415
-100.167068481,-267.85748291
-98.072181702,-267.761962891
-96.069351196,-267.730804443
-94.02066803,-267.601959229
-91.750717163,-267.3878479
-89.507164001,-267.178955078
-87.470252991,-267.042663574
-85.439666748,-267.073547363
-83.275871277,-266.84866333
-81.286262512,-266.202056885
-79.473350525,-265.291320801
