x,y
-54.201805115,-184.01852417
-54.179161072,-184.160919189
-54.176246643,-184.378326416
-54.080883026,-185.971466064
-53.822166443,-187.947357178
-53.579093933,-189.940643311
-53.390174866,-192.077316284
-53.192749023,-194.115066528
-53.05015564,-196.159896851
-53.026618958,-197.906387329
-52.794803619,-198.787246704
-52.593715668,-200.729644775
-52.385917664,-202.736557007
-52.276706696,-204.72303772
-52.39396286,-206.734130859
-52.562644958,-208.439117432
-52.887031555,-209.208862305
-53.639167786,-209.885971069
-54.912132263,-211.434585571
-55.686267853,-212.351806641
-56.657951355,-213.535980225
-57.988231659,-215.015274048
-58.360057831,-215.439697266
-58.92332077,-216.06022644
-59.15820694,-216.267944336
-60.245536804,-217.085510254
-60.917961121,-218.898849487
-61.564182281,-219.26373291
-63.296497345,-219.73399353
-64.390380859,-219.768600464
-66.357215881,-220.333007813
-68.271499634,-220.852340698
-70.207473755,-221.368545532
-72.045272827,-221.653167725
-73.986251831,-221.871276855
-76.020202637,-222.034301758
-78.046211243,-222.098861694
-80.180786133,-222.262573242
-82.058204651,-222.193908691
-82.81061554,-222.316040039
-84.071228027,-222.337753296
-84.85168457,-222.388961792
-86.895187378,-222.474090576
-88.780204773,-222.659301758
-90.588935852,-222.740310669
-92.550102234,-222.70149231
-94.528686523,-222.84777832
-96.371520996,-222.868469238
-98.127120972,-222.950317383
-100.108299255,-223.086654663
-102.955612183,-223.097595215
-105.162254333,-223.32069397
-107.20791626,-223.302566528
-109.288673401,-223.172653198
-111.295776367,-223.320388794
-113.391075134,-223.534378052
-115.534706116,-223.664993286
-117.578773499,-223.793258667
-119.601875305,-223.918838501
-121.617774963,-223.967849731
-123.639175415,-224.017974854
-125.651184082,-224.10244751
-127.698562622,-224.173355103
-129.724349976,-224.255432129
-131.735198975,-224.501419067
-133.752761841,-224.576339722
-135.95199585,-224.706832886
-138.108810425,-224.876113892
-140.099624634,-224.888153076
-142.247009277,-224.987945557
-144.599746704,-225.08392334
-146.730270386,-225.180603027
-148.724472046,-225.38848877
-150.985092163,-225.492935181
-153.438369751,-225.71446228
-155.471664429,-225.9296875
-157.630752563,-225.982452393
-159.645492554,-226.10118103
-161.679595947,-226.273590088
-163.800720215,-226.36769104
-165.772979736,-226.649734497
-167.779373169,-227.041229248
-169.765716553,-227.569137573
-171.794128418,-227.963928223
-173.790237427,-228.422729492
-175.979766846,-228.925827026
-177.953811646,-229.228652954
-180.249755859,-229.723098755
-181.729354858,-230.222229004
-183.654144287,-230.926971436
-185.541122437,-231.615783691
-187.403381348,-232.515365601
-189.810623169,-233.698364258
-191.604217529,-234.670684814
-193.558670044,-235.800125122
-195.329360962,-236.717681885
-197.174575806,-237.671035767
-199.167785645,-238.691314697
-201.014770508,-239.512084961
-203.119293213,-241.013092041
-204.797485352,-242.189575195
-206.480422974,-243.255233765
-208.100463867,-244.417144775
-209.70904541,-245.698226929
-211.378234863,-246.777740479
-212.973815918,-248.065551758
-214.293075562,-249.584472656
-215.722183228,-251.043228149
-217.093078613,-252.502105713
-218.637023926,-253.79460144
-220.237960815,-254.980361938
-221.980224609,-256.121643066
-223.902511597,-256.995361328
-225.25352478,-257.79006958
-227.119781494,-258.671020508
