__time,/pcl_pose/header/stamp/nanosec,/pcl_pose/header/stamp/sec,/pcl_pose/pose/pose/orientation/w,/pcl_pose/pose/pose/orientation/x,/pcl_pose/pose/pose/orientation/y,/pcl_pose/pose/pose/orientation/z,/pcl_pose/pose/pose/position/x,/pcl_pose/pose/pose/position/y,/pcl_pose/pose/pose/position/z,distance,curvature
1730698743.45145,101366272.0,1728188332.0,-0.048263435,0.032439391,0.003123297,0.998302837,-24.154808044,-179.693466187,6.622257233,0.0161065755773283,10.0
1730698746.69741,328867584.0,1728188335.0,0.013836015,0.033109571,0.005262976,0.999342098,-24.265333176,-179.730712891,6.635212421,0.1166324215751334,0.3843193735095517
1730698749.22708,850323968.0,1728188337.0,-0.021181169,0.026643231,0.002033069,0.999418492,-25.813131332,-179.571990967,6.735991001,1.5559150943657776,0.1474868457765543
1730698751.12193,766640128.0,1728188339.0,0.026429732,0.028460213,0.001642322,0.999244099,-27.385293961,-179.683502197,6.786716461,1.5761123330652211,0.080314770450526
1730698753.87783,489831680.0,1728188342.0,-0.01117034,0.034257774,0.003291137,0.999345193,-29.389930725,-179.642562866,6.898321152,2.005054758455021,0.0729594704962618
1730698756.37964,11307776.0,1728188345.0,0.003537285,0.021456083,0.006010771,0.999745471,-30.526182175,-179.721252441,6.956140041,1.1389729614177777,1.4554430583999307
1730698757.17011,818179328.0,1728188345.0,0.0408695,0.021296172,0.004578715,0.998927018,-30.715032578,-179.732330322,6.953341484,0.1891750357756347,2.0326411122546593
